conc_avg_DOPC_all,avg_DOPC_all,stdev_DOPC_all
0,-1.14e-17,1.53341e-17
5e-07,0.189,0.06918
1e-06,0.336,0.129749
2e-06,0.821,0
5e-06,1.29,0.266784
1e-05,1.72,0.258143
2e-05,1.99,0.128156
5e-05,2.29,0.126042
